LANG_NAME;LANG_ISO;GENEALOGICAL_AFFILIATION;MACRO_AREA;SOURCE;ENC_AVAILABLE;DISTINCT_FROM_CN;RELATED_TO_CN
Sawknah-Fogaha;swn;Afro-Asiatic, Berber;Africa;Lakfioui & Brugnatelli (to appear: 8, f. 6);Yes;Yes;No
Semelai;sza;Austroasiatic, Aslian;Southeast Asia-Oceania;Kruspe (2004: 317);No;DNA;DNA
Seri;sei;Language isolate;North America-Mesoamerica;Moser & Marlett (2010: 449);No;DNA;DNA
Shasta;sht;Shastan, Shasta;North America-Mesoamerica;Silver (1966: 242);No;DNA;DNA
Shatt;shj;Dajuic, Eastern Dajuic;Africa;Alfira et al. (2016: 211);No;DNA;DNA
Sheko;she;Dizoid, Sheko;Africa;Hellenthal (2010: 425);No;DNA;DNA
Sinhala;sin;Indo-European, Indo-Iranian;Eurasia;Chandralal (2010: 186);Yes;No;Yes
Sirayaic;fos;Austronesian, East Formosan;Southeast Asia-Oceania;Adelaar (2011: 219);Yes;Yes;Yes
Siwai;siw;South Bougainville, Buin;Australia-Papua New Guinea;Onishi (1994: 161);No;DNA;DNA
Skou;skv;Sko, Skou-Serra-Piore;Australia-Papua New Guinea;Donohue (2004: 144);No;DNA;DNA
Somali;som;Afro-Asiatic, Cushitic;Africa;Saeed (1999: 257);No;DNA;DNA
Southern-Coastal Tsimshian;tsi;Tsimshian, Southern-Coastal Tsimshian;North America-Mesoamerica;Flaherty (1979: 179);No;DNA;DNA
Southern Cook Island Maori;mri;Austronesian, Malayo-Polynesian;Southeast Asia-Oceania;Nicholas (2016: 285);No;DNA;DNA
Southern Yukaghir;yux;Yukaghir, Kolymic;Eurasia;Maslova (2003: 495-496);Yes;Yes;No
Sumerian;sux;Language isolate;Eurasia;Zólyomi (2017: 149-150);No;DNA;DNA
Swahili;swh;Atlantic-Congo, Volta-Congo;Africa;Mpiranya (2015: 193);No;DNA;DNA
Tagalog;tgl;Austronesian, Malayo-Polynesian;Southeast Asia-Oceania;Schachter & Otanes (1972: 526-527);No;DNA;DNA
Tariana;tae;Arawakan, Japura-Colombia;South America;Aikhenvald (2003: 403);No;DNA;DNA
Taulil;tuh;Taulil-Butam;Southeast Asia-Oceania;Meng (2018: 108);No;DNA;DNA
Tehuelche;teh;Chonan, Continental Chonan;South America;Fernández (1998: 326);No;DNA;DNA
Teiwa;twe;Timor-Alor-Pantar, Alor-Pantar;Southeast Asia-Oceania;Klamer (2010: 274);No;DNA;DNA
