LANG_ISO;GENEALOGICAL_AFFILIATION;MACRO_AREA;ENC_AVAILABLE;DISTINCT_FROM_CN;RELATED_TO_CN
xicotepec de juárez totonac;totonacan, totonac;north america-mesoamerica;no;dna;dna
xinca-guazacapan;xincan, xinca-guazacapan;north america-mesoamerica;no;dna;dna
yagua;peba-yagua, yagua;south america;no;dna;dna
yakkha;sino-tibetan, himalayish;southeast asia-oceania;no;dna;dna
yeri;nuclear torricelli, west palai;australia-papua new guinea;no;dna;dna
yucatec maya;mayan, core mayan;north america-mesoamerica;yes;yes;yes
yuchi;language isolate;north america-mesoamerica;no;dna;dna
yue chinese;sino-tibetan, sinitic;southeast asia-oceania;no;dna;dna
yuracaré;language isolate;south america;no;dna;dna
yurok;algic, yurok;north america-mesoamerica;no;dna;dna
yuwaalaraay-gamilaraay;pama-nyungan, southeastern pama-nyungan;australia-papua new guinea;no;dna;dna
zuni;language isolate;north america-mesoamerica;no;dna;dna
